2018-12-17 18:04:36 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '27.44.125.204', 'port': '80', 'protocol': 0, 'nick_type': -1, 'speed': 0.52, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:36 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '58.58.213.55', 'port': '8888', 'protocol': 2, 'nick_type': 0, 'speed': 5.63, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:38 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '140.143.96.108', 'port': '1080', 'protocol': 0, 'nick_type': -1, 'speed': 0.69, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:38 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '114.95.184.45', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 1.62, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:39 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '58.242.136.18', 'port': '808', 'protocol': 2, 'nick_type': 0, 'speed': 0.88, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:39 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '219.134.90.116', 'port': '42931', 'protocol': 2, 'nick_type': 0, 'speed': 0.48, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:39 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '39.137.69.10', 'port': '8080', 'protocol': 0, 'nick_type': -1, 'speed': 0.85, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:39 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '27.155.83.182', 'port': '8081', 'protocol': 0, 'nick_type': -1, 'speed': 0.67, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:40 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '222.171.251.43', 'port': '40149', 'protocol': 2, 'nick_type': 0, 'speed': 2.28, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:42 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '5.228.211.189', 'port': '45551', 'protocol': 2, 'nick_type': 0, 'speed': 1.0, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:43 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '180.104.107.46', 'port': '45700', 'protocol': 2, 'nick_type': 0, 'speed': 3.01, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:43 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '47.206.13.115', 'port': '40285', 'protocol': 1, 'nick_type': 0, 'speed': 1.67, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:43 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '60.212.196.121', 'port': '8060', 'protocol': -1, 'nick_type': -1, 'speed': -1, 'area': None, 'score': 49, 'disable_domains': []}
2018-12-17 18:04:43 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '188.43.4.117', 'port': '60577', 'protocol': 2, 'nick_type': 0, 'speed': 1.66, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:44 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '218.87.60.202', 'port': '8060', 'protocol': 0, 'nick_type': -1, 'speed': 0.58, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:44 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '119.27.174.56', 'port': '1080', 'protocol': 0, 'nick_type': -1, 'speed': 0.71, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:45 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '62.173.155.206', 'port': '41258', 'protocol': 2, 'nick_type': 0, 'speed': 1.24, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:46 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '217.219.179.60', 'port': '5220', 'protocol': 2, 'nick_type': 0, 'speed': 0.98, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:47 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '103.197.106.110', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.84, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:04:48 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '1.20.96.200', 'port': '59814', 'protocol': 2, 'nick_type': 0, 'speed': 1.12, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:40 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '117.68.194.141', 'port': '808', 'protocol': 0, 'nick_type': -1, 'speed': 0.43, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:41 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '123.56.23.0', 'port': '8118', 'protocol': 2, 'nick_type': 0, 'speed': 0.33, 'area': None, 'score': 50, 'disable_domains': []}
2018-12-17 18:30:41 mongo_pool.py [line:32] INFO: 更新代理: {'ip': '121.138.171.233', 'port': '8080', 'protocol': 2, 'nick_type': 0, 'speed': 0.6, 'area': None, 'score': 50, 'disable_domains': []}
